Casename	Study	stat_para	stat_aneu	stat_red	stat_yel	stat_wht	stat_dom	stat_bod	stat_nek	stat_part	stat_press	
a06161.1	msa.1	mean	1430885.75	1245972.33	     0.00	1191135.45	1233715.22	1464443.41	1631380.07	469469.39	755801.60	
a06161.1	msa.1	max	4403457.31	2462171.36	     0.00	2756544.83	2462171.36	3559650.70	4403457.31	2754832.80	4403457.31	
a06161.1	msa.1	min	  2920.66	  2920.66	     0.00	 41179.54	  2920.66	  3019.67	 19342.19	   512.47	   512.47	
a06161.1	msa.1	stddev	803995.46	556781.74	     0.00	646102.89	496630.17	835658.26	995068.78	286255.48	665846.69	
a10151.1	msa.1	mean	1307704.57	1222822.57	     0.00	1690546.75	1166265.52	1179017.64	1712684.00	531117.77	699484.09	
a10151.1	msa.1	max	4223817.58	2568732.89	     0.00	3144138.63	1721190.45	2463859.93	4223817.58	4144082.85	4223817.58	
a10151.1	msa.1	min	   738.87	165127.17	     0.00	 40658.16	 10980.82	   738.87	  3634.81	   192.95	   192.95	
a10151.1	msa.1	stddev	767813.16	340814.53	     0.00	593918.08	433838.88	597296.54	1123319.66	417869.53	605784.72	
a10151.2	msa.1	mean	1861748.05	1735952.86	     0.00	2347299.43	1505279.54	1859910.70	2168060.10	526415.17	929412.33	
a10151.2	msa.1	max	6686365.95	4095432.17	     0.00	3535245.72	3084975.45	4070366.02	6686365.95	4758430.31	6686365.95	
a10151.2	msa.1	min	  2626.92	512793.80	     0.00	608525.98	  5717.46	  2626.92	 11084.76	   227.45	   227.45	
a10151.2	msa.1	stddev	913572.46	817802.61	     0.00	661645.80	583851.02	921299.30	1013463.84	404375.71	861267.46	
agh050.1	msa.1	mean	1826983.94	     0.00	     0.00	1766688.92	1368013.60	1915352.28	2106686.35	582902.46	1124511.42	
agh050.1	msa.1	max	3856243.82	     0.00	     0.00	3810392.07	3271136.32	3454985.54	3856243.82	3976631.88	3976631.88	
agh050.1	msa.1	min	  4828.63	     0.00	     0.00	 27085.24	  4828.63	 27085.24	 30940.41	   681.70	   681.70	
agh050.1	msa.1	stddev	733909.12	     0.00	     0.00	740370.13	616766.43	586189.39	886375.75	486152.48	865104.65	
agh065.2	msa.1	mean	1082464.04	1082685.12	     0.00	     0.00	879287.62	1198771.50	1125929.37	371954.36	582825.60	
agh065.2	msa.1	max	2726799.86	2726799.86	     0.00	     0.00	1921083.99	2364113.02	2726799.86	1592810.37	2726799.86	
agh065.2	msa.1	min	  3491.73	 36074.90	     0.00	     0.00	  3491.73	 51686.68	231700.70	   340.90	   340.90	
agh065.2	msa.1	stddev	507085.43	568184.94	     0.00	     0.00	485667.99	487984.27	487098.16	203516.04	459130.13	
agh065.3	msa.1	mean	1282518.14	1219861.48	     0.00	1276886.32	933622.01	1450439.78	1380817.55	349104.38	629794.72	
agh065.3	msa.1	max	2275582.54	2271649.71	     0.00	2275582.54	2261687.61	2275582.54	2231990.19	1901860.04	2275582.54	
agh065.3	msa.1	min	  3649.19	535788.87	     0.00	 44367.10	  3649.19	428162.36	525023.30	   694.87	   694.87	
agh065.3	msa.1	stddev	523471.54	587091.44	     0.00	580027.96	517338.26	457320.99	435823.75	231031.08	550399.97	
agh075.1	msa.1	mean	1435375.83	1458035.07	     0.00	1321264.71	935134.73	1517798.82	1813238.06	469764.14	679533.82	
agh075.1	msa.1	max	3625095.10	2126839.37	     0.00	2380285.04	1839455.47	3263572.87	3625095.10	2993817.02	3625095.10	
agh075.1	msa.1	min	 20516.64	360892.77	     0.00	 82636.55	 20516.64	124218.52	 46994.22	   344.55	   344.55	
agh075.1	msa.1	stddev	693560.20	358341.93	     0.00	464053.57	441948.05	565755.59	816516.60	337614.69	593525.66	
agh084.1	msa.1	mean	1256682.10	1350169.55	     0.00	     0.00	966485.85	1418465.19	1326919.70	416141.56	714477.60	
agh084.1	msa.1	max	4110380.10	2820206.08	     0.00	     0.00	2832737.46	4110380.10	3129702.71	1297614.16	4110380.10	
agh084.1	msa.1	min	  3137.45	127850.87	     0.00	     0.00	  4146.59	  3137.45	  5546.55	   563.05	   563.05	
agh084.1	msa.1	stddev	722116.86	666171.71	     0.00	     0.00	483938.96	785580.45	736106.85	220113.49	614893.21	
agh088.1	msa.1	mean	1333316.81	1159940.54	     0.00	814674.78	935203.80	1460409.20	1499120.20	565003.80	744025.66	
agh088.1	msa.1	max	2681578.06	1957874.80	     0.00	1653098.76	1964223.44	2213279.75	2681578.06	2908675.94	2908675.94	
agh088.1	msa.1	min	  1009.16	  3544.63	     0.00	350017.39	  1009.16	286321.58	153640.24	    83.75	    83.75	
agh088.1	msa.1	stddev	529172.27	549237.21	     0.00	294567.88	523685.38	395378.85	561225.09	338263.42	508433.15	
agh096.1	msa.1	mean	1145008.63	1114645.20	     0.00	645632.60	1237284.59	1061140.47	1221654.97	388178.18	540016.58	
agh096.1	msa.1	max	2722020.19	2445871.92	     0.00	1448019.03	2102127.56	2632201.61	2722020.19	2086595.73	2722020.19	
agh096.1	msa.1	min	   850.42	  2465.12	     0.00	 11858.38	291504.61	  2465.12	   850.42	    78.68	    78.68	
agh096.1	msa.1	stddev	588072.48	588457.72	     0.00	343558.07	373466.68	623850.52	684516.08	275893.47	471263.15	
agh098.1	msa.1	mean	1015659.84	983589.82	     0.00	911697.98	876970.28	1134182.29	923122.96	292670.07	451785.40	
agh098.1	msa.1	max	3994241.95	3442703.61	     0.00	3549226.22	1376068.77	3994241.95	2256529.66	1687633.74	3994241.95	
agh098.1	msa.1	min	   972.10	  1597.96	     0.00	 24648.47	126857.92	  1597.96	   972.10	   309.75	   309.75	
agh098.1	msa.1	stddev	618487.60	542994.05	     0.00	642435.19	250172.79	753431.34	548456.71	206133.87	453322.95	
agh101.2	msa.1	mean	942540.40	848698.90	     0.00	1279577.42	663168.33	954624.97	1217150.07	534635.08	577787.59	
agh101.2	msa.1	max	2219202.03	1653272.61	     0.00	1924565.14	1164150.69	1934525.87	2219202.03	2062966.08	2219202.03	
